MatchId,WinningTeam,Champion1,Champ1Spell1,Champ1Spell2,Champion2,Champ2Spell1,Champ2Spell2,Champion3,Champ3Spell1,Champ3Spell2,Champion4,Champ4Spell1,Champ4Spell2,Champion5,Champ5Spell1,Champ5Spell2,Champion6,Champ6Spell1,Champ6Spell2,Champion7,Champ7Spell1,Champ7Spell2,Champion8,Champ8Spell1,Champ8Spell2,Champion9,Champ9Spell1,Champ9Spell2,Champion10,Champ10Spell1,Champ10Spell2
2541519658,Blue,Xayah,Heal,Flash,Cho'Gath,Flash,Heal,Heimerdinger,Flash,Clarity,Trundle,Flash,Ignite,Vel'Koz,Flash,Barrier,Ashe,Flash,Barrier,Teemo,Mark,Flash,Vayne,Flash,Mark,Varus,Flash,Clarity,Shaco,Mark,Flash
2541519659,Purple,Cassiopeia,Heal,Flash,Lux,Clarity,Flash,Dr. Mundo,Flash,Mark,Rek'Sai,Flash,Mark,Morgana,Flash,Clarity,Brand,Mark,Flash,Shyvana,Mark,Flash,Swain,Mark,Flash,Jax,Flash,Mark,Kassadin,Clarity,Flash
2541519660,Blue,Blitzcrank,Flash,Mark,Fiddlesticks,Mark,Flash,Xayah,Heal,Flash,Pantheon,Flash,Mark,Yasuo,Flash,Mark,Vi,Mark,Flash,Dr. Mundo,Flash,Mark,Ahri,Mark,Flash,Jinx,Mark,Flash,Quinn,Flash,Heal
2541519661,Blue,Jayce,Mark,Flash,Rakan,Clarity,Flash,Kled,Flash,Heal,Vel'Koz,Mark,Flash,Azir,Flash,Heal,Ahri,Clarity,Flash,Warwick,Mark,Flash,Darius,Flash,Ghost,Gangplank,Heal,Flash,Sona,Flash,Heal
2541519663,Blue,Morgana,Mark,Flash,Nautilus,Flash,Mark,Orianna,Flash,Heal,Jarvan IV,Flash,Mark,Xayah,Flash,Clarity,Malphite,Flash,Mark,Kayle,Mark,Flash,Blitzcrank,Mark,Flash,Jinx,Mark,Flash,Zyra,Clarity,Flash
2541519664,Blue,Aurelion Sol,Flash,Clarity,Malphite,Flash,Heal,Jinx,Flash,Barrier,Lulu,Heal,Flash,Lux,Flash,Mark,Twisted Fate,Flash,Heal,Ryze,Flash,Ignite,Zyra,Flash,Heal,Cassiopeia,Heal,Flash,Twitch,Ignite,Heal
2541519665,Blue,Corki,Flash,Clarity,Nunu,Mark,Flash,Pantheon,Mark,Flash,Taliyah,Clarity,Flash,Braum,Mark,Flash,Sejuani,Mark,Flash,Renekton,Flash,Heal,Alistar,Mark,Flash,Nidalee,Flash,Mark,Jarvan IV,Mark,Flash
2541519667,Blue,Xin Zhao,Heal,Flash,Ahri,Flash,Heal,Morgana,Heal,Flash,Anivia,Flash,Heal,Sion,Flash,Heal,Singed,Heal,Flash,Varus,Clarity,Flash,Garen,Flash,Ignite,Annie,Flash,Heal,Vi,Ignite,Flash
2541519670,Blue,Nidalee,Mark,Flash,Wukong,Mark,Flash,Ashe,Heal,Flash,Dr. Mundo,Flash,Mark,Shaco,Flash,Mark,Jinx,Mark,Flash,Twisted Fate,Flash,Heal,Annie,Mark,Flash,Ryze,Mark,Flash,Nasus,Mark,Ghost
2541519672,Purple,Syndra,Flash,Clarity,Ashe,Heal,Flash,Darius,Flash,Clarity,Veigar,Flash,Heal,Jarvan IV,Flash,Heal,Brand,Mark,Ignite,Skarner,Flash,Clarity,Vayne,Clarity,Heal,Garen,Mark,Flash,Taric,Flash,Clarity
2541519684,Blue,Fizz,Flash,Ignite,Ahri,Heal,Flash,Morgana,Heal,Flash,Warwick,Heal,Flash,Karthus,Mark,Flash,Lux,Barrier,Flash,Elise,Ghost,Flash,Amumu,Flash,Heal,Leona,Flash,Ignite,Sivir,Mark,Flash
2541519686,Blue,Ashe,Mark,Flash,Annie,Heal,Flash,Anivia,Flash,Mark,Garen,Flash,Heal,Kayle,Clarity,Mark,Nidalee,Ignite,Heal,Darius,Clarity,Heal,Sivir,Ignite,Heal,Teemo,Cleanse,Flash,Twisted Fate,Clarity,Flash
2541519688,Purple,Nautilus,Mark,Flash,Fiddlesticks,Flash,Mark,Akali,Flash,Ignite,Jax,Flash,Mark,Camille,Flash,Mark,Lissandra,Flash,Mark,Zyra,Flash,Mark,Fizz,Flash,Mark,Ziggs,Flash,Clarity,Nocturne,Ghost,Heal
2541519689,Blue,Caitlyn,Heal,Flash,Annie,Flash,Mark,Ziggs,Flash,Clarity,Kog'Maw,Flash,Heal,Galio,Flash,Mark,Nami,Exhaust,Flash,Janna,Exhaust,Flash,Xayah,Flash,Heal,Rengar,Mark,Ghost,Leona,Mark,Flash
2541519691,Blue,Vi,Flash,Clarity,Caitlyn,Mark,Flash,Riven,Mark,Flash,Amumu,Exhaust,Flash,Viktor,Flash,Mark,Master Yi,Flash,Mark,Jarvan IV,Heal,Flash,Ezreal,Heal,Flash,Xayah,Flash,Clarity,Tristana,Heal,Flash
2541519692,Purple,Twitch,Mark,Flash,Lulu,Flash,Clarity,Vayne,Mark,Flash,Jax,Mark,Flash,Fiddlesticks,Mark,Flash,Xin Zhao,Flash,Heal,Ezreal,Flash,Mark,Kayle,Mark,Flash,Zyra,Mark,Flash,Yorick,Mark,Flash
2541519693,Blue,Garen,Mark,Flash,Jax,Mark,Flash,Kindred,Flash,Heal,Braum,Mark,Flash,Soraka,Clarity,Flash,Amumu,Mark,Flash,Rumble,Flash,Ignite,Ekko,Flash,Barrier,Blitzcrank,Flash,Mark,Malphite,Flash,Mark
2541519694,Blue,Jax,Flash,Mark,Vladimir,Mark,Flash,Rakan,Flash,Barrier,Galio,Flash,Clarity,Jarvan IV,Mark,Flash,Yasuo,Flash,Heal,Nasus,Heal,Mark,Zilean,Flash,Mark,Camille,Barrier,Flash,Jayce,Heal,Flash
2541519695,Blue,Teemo,Mark,Flash,Soraka,Heal,Flash,Twitch,Mark,Flash,Anivia,Clarity,Flash,Rammus,Mark,Flash,Kennen,Mark,Flash,Morgana,Flash,Mark,Nunu,Clarity,Flash,Irelia,Mark,Barrier,Ezreal,Heal,Flash
2541519696,Purple,Darius,Flash,Ignite,Varus,Flash,Mark,Anivia,Clarity,Flash,Warwick,Heal,Flash,Blitzcrank,Heal,Flash,Jinx,Flash,Heal,Sivir,Heal,Flash,Ashe,Mark,Ignite,Teemo,Barrier,Heal,Fiddlesticks,Flash,Heal
2541519697,Blue,Kog'Maw,Cleanse,Flash,Veigar,Flash,Mark,Varus,Flash,Mark,Xerath,Flash,Heal,Kindred,Flash,Ghost,Vladimir,Flash,Mark,Ezreal,Flash,Heal,Dr. Mundo,Flash,Exhaust,Blitzcrank,Flash,Mark,Zilean,Flash,Mark
2541519698,Purple,Malphite,Flash,Heal,Morgana,Mark,Flash,Xin Zhao,Ghost,Flash,Ahri,Cleanse,Flash,Ezreal,Flash,Clarity,Syndra,Clarity,Flash,Soraka,Heal,Clarity,Jinx,Heal,Flash,Lux,Ghost,Flash,Nasus,Mark,Flash
2541519703,Blue,Lux,Clarity,Flash,Cho'Gath,Flash,Mark,Jarvan IV,Mark,Flash,Ekko,Mark,Flash,Nautilus,Mark,Flash,Trundle,Flash,Mark,Warwick,Mark,Flash,Dr. Mundo,Flash,Mark,Camille,Flash,Mark,Maokai,Flash,Mark
2541519704,Purple,Anivia,Heal,Flash,Aatrox,Mark,Flash,Pantheon,Flash,Mark,Tryndamere,Mark,Flash,Singed,Mark,Flash,Heimerdinger,Clarity,Flash,Maokai,Mark,Flash,Twitch,Flash,Heal,Gangplank,Mark,Flash,Nidalee,Flash,Mark
2541519705,Blue,Renekton,Flash,Heal,Ezreal,Mark,Flash,Ashe,Flash,Heal,Warwick,Ignite,Flash,Nautilus,Mark,Flash,Nidalee,Heal,Flash,Jarvan IV,Flash,Heal,Quinn,Flash,Exhaust,Fiddlesticks,Heal,Flash,Ryze,Heal,Flash
2541519725,Blue,Hecarim,Flash,Mark,Kennen,Mark,Flash,Darius,Mark,Flash,Cho'Gath,Flash,Mark,Malphite,Flash,Mark,Jhin,Flash,Mark,Tristana,Mark,Flash,Kha'Zix,Mark,Flash,Ezreal,Flash,Heal,Twisted Fate,Ghost,Flash
2541519727,Purple,Brand,Flash,Heal,Blitzcrank,Mark,Flash,Zyra,Heal,Flash,Jayce,Exhaust,Flash,Ashe,Flash,Heal,Sivir,Clarity,Flash,Xin Zhao,Flash,Mark,Nidalee,Mark,Ghost,Jarvan IV,Ghost,Heal,Ahri,Heal,Flash
2541519728,Blue,Viktor,Clarity,Flash,Shen,Ignite,Flash,Soraka,Exhaust,Flash,Alistar,Flash,Ghost,Lucian,Heal,Flash,Ekko,Mark,Flash,Xayah,Flash,Mark,Ashe,Mark,Flash,Syndra,Flash,Mark,Corki,Mark,Flash
2541519729,Purple,Gangplank,Heal,Flash,Fiora,Flash,Mark,Warwick,Flash,Mark,Shyvana,Flash,Mark,Varus,Flash,Mark,Draven,Flash,Mark,Master Yi,Flash,Clarity,Syndra,Exhaust,Flash,Sivir,Flash,Heal,Morgana,Mark,Flash
2541519730,Purple,Anivia,Flash,Mark,Jinx,Heal,Flash,Poppy,Flash,Heal,Ahri,Flash,Ignite,Blitzcrank,Ignite,Heal,Ashe,Heal,Flash,Orianna,Heal,Flash,Vel'Koz,Barrier,Flash,Jarvan IV,Flash,Mark,Karthus,Flash,Exhaust
2541519731,Purple,Rumble,Exhaust,Flash,Lux,Flash,Mark,Zilean,Exhaust,Flash,Jax,Mark,Flash,Kog'Maw,Heal,Flash,Quinn,Flash,Barrier,Kalista,Flash,Cleanse,Zyra,Flash,Exhaust,Lee Sin,Flash,Mark,Maokai,Mark,Flash
2541519732,Blue,Sivir,Heal,Flash,Aurelion Sol,Flash,Ignite,Blitzcrank,Mark,Flash,Sona,Flash,Mark,Zac,Flash,Mark,Nasus,Flash,Mark,Lucian,Flash,Heal,Galio,Exhaust,Flash,Veigar,Flash,Clarity,Zyra,Clarity,Flash
2541519733,Purple,Ahri,Exhaust,Flash,Fiddlesticks,Flash,Mark,Gnar,Mark,Flash,Twisted Fate,Clarity,Flash,Darius,Mark,Flash,Fizz,Flash,Mark,Camille,Flash,Mark,Gragas,Flash,Mark,Zed,Flash,Mark,Nidalee,Mark,Flash
2541519734,Purple,Anivia,Clarity,Flash,Sion,Mark,Heal,Katarina,Flash,Barrier,Karma,Clarity,Heal,Ahri,Flash,Mark,Kog'Maw,Mark,Flash,Syndra,Clarity,Flash,Zilean,Clarity,Flash,Ryze,Mark,Flash,Heimerdinger,Ignite,Flash
2541519736,Purple,Zyra,Exhaust,Flash,Soraka,Heal,Barrier,Jarvan IV,Flash,Heal,Shyvana,Flash,Heal,Nasus,Flash,Heal,Malzahar,Flash,Mark,Annie,Ghost,Ignite,Veigar,Flash,Clarity,Ahri,Flash,Heal,Master Yi,Flash,Mark
2541519740,Blue,Janna,Flash,Clarity,Poppy,Flash,Heal,Teemo,Heal,Ignite,Malzahar,Flash,Ignite,Zac,Ignite,Flash,Quinn,Mark,Flash,Kalista,Flash,Heal,Kayle,Exhaust,Flash,Riven,Flash,Ghost,Jayce,Mark,Flash
2541519741,Blue,Garen,Flash,Mark,Miss Fortune,Flash,Heal,Amumu,Mark,Ignite,Karma,Flash,Barrier,Nami,Flash,Clarity,Quinn,Flash,Heal,Pantheon,Mark,Flash,Ziggs,Flash,Clarity,Ahri,Barrier,Flash,Master Yi,Mark,Flash
2541519742,Purple,Nasus,Flash,Heal,Graves,Heal,Flash,Evelynn,Heal,Flash,Warwick,Heal,Flash,Swain,Clarity,Flash,Rammus,Barrier,Heal,Zilean,Flash,Clarity,Sivir,Flash,Heal,Quinn,Heal,Flash,LeBlanc,Flash,Heal
2541519743,Purple,Anivia,Barrier,Flash,Sivir,Mark,Flash,Zyra,Flash,Mark,Cho'Gath,Barrier,Mark,Karma,Flash,Mark,Lee Sin,Flash,Mark,Ahri,Mark,Flash,Shaco,Mark,Flash,Annie,Exhaust,Flash,Volibear,Mark,Flash
2541519744,Blue,Akali,Flash,Mark,Lux,Flash,Heal,Ashe,Flash,Heal,Jax,Mark,Flash,Ezreal,Clarity,Flash,Ekko,Flash,Mark,Nidalee,Flash,Mark,Cassiopeia,Heal,Flash,Twisted Fate,Clarity,Flash,Lucian,Flash,Barrier
2541519750,Blue,Nasus,Ignite,Flash,Sona,Flash,Clarity,Maokai,Mark,Flash,Aatrox,Flash,Mark,Nidalee,Flash,Mark,Sejuani,Mark,Flash,Kennen,Flash,Mark,Twitch,Flash,Barrier,Vel'Koz,Exhaust,Flash,Kalista,Flash,Heal
2541519751,Purple,Galio,Mark,Flash,Darius,Barrier,Flash,Diana,Flash,Clarity,Amumu,Mark,Heal,Ekko,Mark,Flash,Zyra,Flash,Clarity,Nunu,Mark,Flash,Miss Fortune,Mark,Flash,Mordekaiser,Heal,Flash,Vladimir,Clarity,Flash
2541519755,Blue,Fizz,Ignite,Flash,Annie,Heal,Flash,Miss Fortune,Flash,Heal,Twisted Fate,Flash,Mark,Ashe,Flash,Heal,Nasus,Mark,Flash,Jarvan IV,Exhaust,Flash,Amumu,Mark,Flash,Orianna,Mark,Flash,Zyra,Ignite,Heal
2541519757,Blue,Sivir,Flash,Heal,Singed,Flash,Mark,Galio,Flash,Mark,Ahri,Ignite,Flash,Soraka,Flash,Mark,Maokai,Flash,Heal,Sona,Flash,Clarity,Bard,Mark,Flash,Ezreal,Mark,Flash,Irelia,Flash,Barrier
2541519759,Blue,Zyra,Flash,Ghost,Twitch,Ghost,Flash,Amumu,Flash,Mark,Sejuani,Clarity,Flash,Rakan,Mark,Flash,Riven,Mark,Flash,Darius,Flash,Mark,Jayce,Flash,Exhaust,Malzahar,Flash,Barrier,Sivir,Exhaust,Flash
2541519760,Blue,Cho'Gath,Flash,Mark,Nunu,Mark,Flash,Zyra,Flash,Heal,Kalista,Heal,Flash,Sona,Clarity,Flash,Zilean,Flash,Mark,Sivir,Heal,Flash,Swain,Mark,Flash,Rammus,Flash,Mark,Udyr,Mark,Flash
